Tweet,Sentiment
I have a massive pimple near my ear :(,negative
I Just Really Want To Go Home..!! :(,negative
"LOL y'all ain't shit :( RT ""@JI_YCEE: Karrueche* 😂 http://t.co/OqgrYQM3B4""",negative
Still no trailer :(,negative
Maybe the mask has come off. Maybe people are finally starting to see that I'm an empty universe and that's all I'll ever be. Good night. :(,negative
Just remembered I'm working tomorrow morning when asda have new deals :(,negative
Imissyou :(,negative
wah disappointed :(,negative
Maybe i can announce it next week? December 6 bc i have exams from the 1st to the 3rd of the month :(,negative
This is my only chance! :(( I hope I won! :(,negative
It makes me so sad that Of Mice and Men tickets are like £40 :(,negative
cant believe sharapova and murray is here... Cant see them bc tix r so damn xpensive ugh :(,negative
Good bye TGIF :(,negative
"Taxing week; really need help but intern candidates keep bailing just before onboarding, dreaming of a horse before they even ride a mule :(",negative
:( I'm way too in love with Nick,negative
bloody hell he was like one of my only faves from the celebrity ones uGh :(((,negative
I can't... I'm gonna die! :(,negative
RT automenfessRPW: #menfess DJRP_Kyuhyun you are saved as the last memories of me :( fr : you know @DJRP_Mina93 ??,negative
I want these dogs!!! :-(#Sobad http://t.co/WfszGt1OtV,negative
woke up by a call hahaha :(((,negative
I deserve all the alcohol right now >:(,negative
Seems that rain doesn't want me to go spend time with my son :(,negative
"The third part of the trilogy is becoming unwieldy. Perhaps I should divide it into two novels, or give it up completely! :(.",negative
Sorry to all for me Spamming Sale pieces again today :-( like people might understand I need them sold to help make New Better Stuff....,negative
"Aw, man i drank too much last night :(",negative
Wth is wrong with my data :(,negative
Come back @justinbieber :( :')  http://t.co/D41SEXBCcJ,negative
2 days no phone :(,negative
Pretty tiffany imnida :( RT @zueho: xeolovestephi orz who are you? who? who?,negative
Rowan Pope is an evil man but I can't believe Olivia was willing to pull the trigga :( #Scandal,negative
"That's too much yho ""@MichellyCC: My snapstory is 300 seconds long :(""",negative
Throat Infection :( </3DARREN On MorningsAtANC,negative
Burt 'Fucking' Reynold is broke so he's selling his stuff.. :(... http://t.co/1B4KNVMRib,negative
I can never get a mors in a supply drop :(,negative
please belive me :-(,negative
"""Ticket, (still no price); but there will be only one ticket, not like last year"" -seriously? :( no booth only ticket talaga?",negative
"Hi ho, hi ho, it's off to work I go... >:-(. Saving up that leave for #KeyWest en febrero...",negative
totally broken :(,negative
Had a nightmare :(,negative
im itching to go get a donut and go shopping but my aunt didnt invite me like she usually does :(,negative
Why does everything with my favourite celebs always have to be at a time I cant go!! So annoying :(,negative
I gotta go now! Not everyone gets the day after Thanksgiving off! :( Be good to each other! Tweet to you later! :),negative
"Ok ""@l_laitan: I'm so sorry ""@_DoPe_LoRd: Ahhh! Our Plantain :( "" @l_laitan: And that's how I burnt the plantain""""""",negative
OH WELL IF I GET WIFI THEN ILL TWEET BUT I DOUBT IT :( I HATE MYSELF.,negative
It's going to be a long ass day!! Work at 5:30 :((,negative
rolling in the deep :(,negative
no one involves me in beef anymore :(,negative
"""thank you for being a good friend to me (kahit hindi tayo friends)"" YUNG TOTOO :(",negative
Dyed my hair purple and for whatever stupid reason it's gone brown  and I hate it :(,negative
Yees :( http://t.co/EAA6wLFo2W,negative
Getting ready shortly to attend a funeral of a young man that should still be here. Life is cruel. God Bless you Shaun Worthington :-(,negative
I need to start taking care of my natural hair again :-(,negative
