Tweet,Sentiment
"Give them feathers already! RT @NatGeo: 'Jurassic World' dinosaurs stuck in the 1980s, experts say: http://t.co/FTOY0S9705",negative
Sering typo make me err..,negative
Divergent font http://t.co/RUum7GHHlz -- Because I'm Happpppyy #Dauntless 💪 http://t.co/2dq1MPAiIl,negative
I've graduated from being a poor student to poor and unemployed. Yay !,negative
You are not doing Skype shows?? Why not? Too complicated to get paid? We show you how it's EA-SY http://t.co/kDiygF0xu8,negative
Almost Is Never Enough by Ariana Grande & Nathan Sykes — https://t.co/eTGssu3lgM,negative
"Today stats: 3 followers, 3 unfollowers via http://t.co/vtfHYt7ykn",negative
OMFG JESUS https://t.co/A3fcUhgkol,negative
"The Prince, thinking, no doubt, of the responsibility he",negative
#World Pope in Turkey to boost faith ties http://t.co/UHB3fTQM7G,negative
Work,negative
"Buy land, they're not making it anymore. Mark Twain @followdougles http://t.co/yLf6uTtJm3 #quote #quotes",negative
28[M4F] Train Sleeper Car via /r/dirtypenpals http://t.co/nmofPkKdb8 ... http://t.co/PxtBnGJ0lm) http://t.co/yASU2HZ4Tn,negative
Mental fitness is just as important as physical health and shouldn’t be neglected. Incorporating mental dexterity... http://t.co/ygTQt4yjjm,negative
I posted a new photo to Facebook http://t.co/Z0HGTfCT8m,negative
michael clifford 5sos@Michael5SOS⭐️🔮🎍💫💭have you beento the doctors lately.?cause I think you'relacking somevitamin me17.565,negative
gain tweets?,negative
19% left ugh this isnt legit,negative
AUD/USD advances beyond 0.8500 http://t.co/0wwQN0DWuC #Forex http://t.co/3JDsD8mjMv,negative
PTI to hold Nov 30 rally at Jinnah Avenue: Nisar http://t.co/9iHNtVq7M6,negative
Why am I here😭 the mall is dead and I'm sleepy!,negative
and singapore vs malaysia at national stadium with family tomorrow! it has been a long time since i watched a live match with the fam bam 🙆💕,negative
Why did I agree to work this shift,negative
Zips are better than houses.,negative
"If you hold back your feelings because you're afraid of getting hurt, you end up hurting anyway.",negative
The retailers are getting a better deal than you,negative
You're willing to join in the celebration as long as your futu... More for Aries http://t.co/IkSHoAhhX5,negative
"This week on twitter: 4 new followers, 4 new unfollowers  and followed One person  via http://t.co/7RGuDZ0j6u",negative
ACR is #nowplaying Jellybean - Jingo Listen now at http://t.co/onxmoqBit5 #80s #acradio,negative
"I'm not afraid to try again, I'm just afraid of getting hurt for the same reason.",negative
test,negative
"Today stats: One follower, One unfollower and followed one person via http://t.co/LhaOeiMLyw",negative
"""I´m screwed by life, we don´t get along.""Charles Bukowski",negative
Always have faith in Allah,negative
Its 28 OliverLancers Day @OliverLancePHIL Its 28 OliverLancers Day @OliverLancePHIL L  o   v   e,negative
"fowling-pieces presented to him by men that loved him,",negative
Crazy how you gotta wait until it's dark out to see who really with you!,negative
"JJ ruining Sheillah's verse, smh, sounding like a dying goat #BBHotshots",negative
"New day, new tweets, new stats. 1 follower, 0 unfollowers. Via good old http://t.co/I6BXhqcuqy",negative
I liked a @YouTube video from @eastfm http://t.co/n8FeJaPJ1y AronChupa - I'm An Albatraoz (Live @ East FM),negative
Fakin ell it's mad,negative
Barbie Banx #blackporn in 1024x576 video http://t.co/s9Ah6Mulgv I love black Girls. They really know how to get me going. Barbie Banx is a,negative
3 Tips to Dealing with a Bad Boss http://t.co/BVtU8zeTve #work #boss #job #employee #respect #business,negative
