Tweet,Sentiment
Also -looks out window to see light dusting of snow- yup that was a crazy storm last night... sure did get 25cm -_- #fail,negative
Apple reseller: Black Friday - save 20% on everything. http://t.co/UWSGyWiVYi #humac #fail #dk #BlackFriday except Apple products,negative
"Typical big store no returns policy won't except fault! Even when they deliver the wrong product @NewLookHelp #fail #newlook",negative
"It's not corruption, it's smartphones. Here's the proof. #montreal #construction #fail @mtlblog @CBCMontreal http://t.co/I9drXOprie",negative
"River Island 20% off and their server crashes within minutes, kind of embarassing for such a big retailer. #fail",negative
Nigel! Oh No! Jontybark: Nigel_Farage UKIP Its why #CameronMustGo No idea about reality A jerk kneeing politician #fail,negative
I've accepted the fact that I am going to fail my Welsh exam. #fail,negative
#BlackFriday fail - websites not built to cope. @curryspcworld #fail @Tesco #fail Come on guys!,negative
#France #to #recognize #Palestinian #state #if #peace #efforts #fail: PARIS (Reuters) – France said on Friday it… http://t.co/T8KaLA0Tcg,negative
Some #people keep waiting for all lights to turn #green before they leave #home.That will never happen & they #fail even before they #start.,negative
I think it's the media responsible for causing the #BlackFriday chaos in UK #Hype #Media #Sheep #Advertising #Chaos #Sales #Fail #Yobs,negative
"3 years of this degree, I'm pretty sure my lecturers have never mentioned B2B marketing... There's more to marketing than B2C! #fail",negative
"Another Black Friday website fail. C'mon Tesco, you should have sorted out your server capicity! #Blackfriday #fail http://t.co/pu0X0tdxHy",negative
How I feel this morning... #blackfriday #sucks #retail #fail #shacklife http://t.co/zXecoNQx2J,negative
"And @Tesco - you're site is down too - go site in the #FAIL group",negative
Think I overdid my first week back at the gym. My back is killing me today #fail #gymproblems,negative
"First #LinkedIn comms: 'Hi Hannah, Are you free today for a chat about our services?' I don't know you or what you do, nor do I care. #fail",negative
"Possibly my favourite ever #fail - I know, I'm mean for laughing at this! http://t.co/GZRwG7w1Pk",negative
So it's a Friday night & kids at camp. So we have a free night & sleep in tomorrow. Where's the hub? In transit from biz trip #fail,negative
There was barely any sales!! #fail #blackfriday,negative
Sms spamming hurts the brand. Especially in our connected economy. When will people understand that? #fail,negative
Bad sock choice.... #fail http://t.co/het8QpWTko,negative
Thanks @curryspcworld for taking my web reservation last night for a tablet only to tell me its now not valid because its #BlackFriday #fail,negative
Why remake a film when the standards are set so high to the original? #AnnieMovie #fail,negative
"The only way I was able to work Pages on iPad iCloud, was to share as a Word doc to open on Mac #Apple #Fail #Stupid",negative
Need to run my payroll - @AskLloydsBank When is your business banking service going to be back up. #Fail #BlackFriday,negative
The moment you realise you've left your keys at home... #fail,negative
I actually need to go to Ikea today but forgot its f***ing Black Friday! #fail,negative
MASSIVE #BlackFriday #fail from Currys http://t.co/ojzxyMiKiw,negative
UK stores spend weeks shoving #BlackFriday down our throats - how many digital stores NOT buckling under the strain? #mcommerce #fail,negative
Amazon is down in uk #BlackFriday #fail,negative
Term in ends in 2 weeks and we're supposed to have chosen projects by then... Haven't even had the titles yet. Good one Leicester #fail,negative
lunchtime & no staff at half the enquiries counters at this @StandardBankZA Branch... #fail #smh,negative
"#fail: Why Save The Children’s PR to defend #Blair is almost worse than award itself! great blog from @aidnography http://t.co/U34PPzhCAa",negative
My phone has started 'dropping' hints that it needs to be replaced. Has fallen for the 3rd time today. :( #tech #fail,negative
The falling price of oil will remove the last tattered arrogant shreds of the pretense that is Conservative economic policy #fail #cdnpoli,negative
"""A man can #fail many times, but he isn't a #failure until he begins to #blame somebody else."" John Burroughs",negative
"""Smarten up, Nas! 4 albums in 10 years, homey, I can divide! That's one [album] every, let's say, two [years]."" #fail #obviouslycannotdivide",negative
Waiting in the car for @Curvyjax to arrive. I need to rob her because I don't have any change for the ticket machine #fail,negative
Photo: #Epic #Fail #Facepalm when #TimesOfIndia makes disastrous blunder and kills #SachinTendulkar … #Rip... http://t.co/jY63GYBBCQ,negative
Becky #fail missed myself on CBC,negative
i never ever wanted to be a nurse in my entire life. Senior quote tho 😅 #fail http://t.co/bIyHxBwUC4,negative
"If this is what we've come to, we've failed at life - https://t.co/vdbYCy1oO5 WTF?! #BlackFriday #fail",negative
A mathematical #genius must've left this combination of weights on the #legpress. #gym #fail http://t.co/Zv1kc1i0vJ,negative
".@David_Cameron chickens out of extending the trailed cap on immigrants to EU Citizens, so it's still screw you Commonwealth & RoW #fail #eu",negative
Booked a Friday off for some quiet Xmas shopping and catchup with my Mum.. Totally didn't appreciate it would be #BlackFriday madness! #fail,negative
