Tweet,Sentiment
"SidKid_XD follow me && machoprogram we'll follow right back!!! simples POSITIVESMILE teamfollowback.",positive
"KevinRothermel Stop tweeting and get back to those timesheets.  Tweets aren't billable!",negative
"these mutherfuckers talkin crazy like they jaw broke",negative
"sm_jones1024 lol yeah you can say that! Can I see your face soon? I need sunshine in my life POSITIVESMILE",positive
"zacmcgee no buy I srsly want to do my next video with you skyping in and harassing me.  You free tonight or tomorrow?",negative
"wendyjillb I forgot what thats like LOL",positive
"PrincessKrisss at 6 in the morning? Hahah",positive
"Kissesmwah and he loves you too POSITIVESMILE",positive
"Fuckk Laddy Gaga3 !!!!!!! (; iDont Like Herr , (x Just Her Musiccc Haaaahhhaa Jenny Was Heree &lt;3",negative
"get it back , give it back POSITIVESMILE",positive
"Fuckk Laddy Gaga2 !!!!!!! (; iDont Like Herr , (x Just Her Musiccc Haaaahhhaa Jenny Was Heree &lt;3",negative
"secret_scoop Haha POSITIVESMILE",positive
"meaganmac then I will see you next Thursday POSITIVESMILE",positive
"Fuckk Laddy Gaga !!!!!!! (; iDont Like Herr , (x Just Her Musiccc Haaaahhhaa Jenny Was Heree &lt;3",negative
"Deathxing I'm down to go POSITIVESMILE",positive
"JillianJaniak aww she was just asking how u were the other day too!! But yes we need to get together asap! Promise I will txt u tomorrow POSITIVESMILE",positive
"Whr my brotha at Cerebral_Breez? I need somebody 2 piss off",negative
"Mi Hermana me pregunto -Porque estas tan chistosa? ._____.",negative
"Dammit! Why does ABCFamily always try to ruin my days off. First, no more Gilmore Girls at 5pm and now none at 10am. I'm gonna watch ESPN.",negative
"ReeseDaProblem shit getting ready to go back home! wyd",negative
