LOL	Laugh out loud
OMG	Oh my god
ILY	I love you
LMAO	Laughing my ass off
WTF	what the fuck
PPL	people
IDK	I don't know
TBH	to be honest
BTW	by the way
THX	thanks
SMH	shaking my head
FFS	for fuck sake
AMA	ask me anything
FML	fuck my life
TBT	throwback thursday
JK	just kidding
IMO	in my opinion
YOLO	you only live once
ROFL	rolling on the floor laughing
MCM	mancrush monday
IKR	i know right
FYI	for your information
BRB	be right back
GG	good game
IDC	i don't care
TGIF	thank God it's Friday
NSFW	not safe for work
ICYMI	in case you missed it
STFU	shut the fuck up
WCW	womancrush wednesday
IRL	in real life
BFF	Best friends forever
OOTD	Outfit of the day
FTW	for the win
Txt	text
HMU	hit me up
HBD	happy birthday
TMI	too much information
NM	not much
GTFO	get the fuck out
NVM	Nevermind
DGAF	don't give a fuck
FBF	flashback friday
DTF	fown to fuck
FOMO	fear of missing out
SMFH	shaking my fucking head
OMW	on my way
POTD	photo of the day
LMS	like my status
GTG	got to go
ROFLMAO	rolling on floor laughing my ass off
TTYL	talk to you later
AFAIK	as far as i know
LMK	let me know
PTFO	passed the fuck out
SFW	safe for work
HMB	hit me back
TTYS	talk to you soon
FBO	facebook official
TTYN	talk to you never
OMFG	oh my fucking god
WTH	what the hell
WAFWOT	what a fucking waste of time
\\$hit	shit
jus	just
