@relation processed-tweets-weka.filters.unsupervised.attribute.NominalToString-Cfirst

@attribute Tweet string
@attribute Sentiment {negative,positive}

@data
'massiv pimpl near ear NEGATIVESMILE',negative
'just realli want go home NEGATIVESMILE',negative
'lol yall aint shit NEGATIVESMILE karrueche* 😂 URL',negative
'still trailer NEGATIVESMILE',negative
'mayb mask come mayb peopl final sta ing see im empti univers that ill ever good night NEGATIVESMILE',negative
'just rememb im work tomorrow morn asda new deal NEGATIVESMILE',negative
'imissyou NEGATIVESMILE',negative
'wah disappoint NEGATIVESMILE',negative
'mayb can announc next week decemb 6 bc exam 1st 3rd month NEGATIVESMILE',negative
'chanc NEGATIVESMILE hope won NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'make sad mice men ticket like £40 NEGATIVESMILE',negative
'cant believ sharapova murray DOTS cant see bc tix r damn POSITIVESMILE ensiv ugh NEGATIVESMILE',negative
'good bye tgif NEGATIVESMILE',negative
'tax week realli need help intern candid keep bail just onboard dream hors even ride mule NEGATIVESMILE',negative
'NEGATIVESMILE im way love nick',negative
'bloodi hell like one fave celebr one ugh NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'cant DOTS im gonna die NEGATIVESMILE',negative
'automenfessrpw menfess HASHTAG djrp_kyuhyun save last memori NEGATIVESMILE fr know',negative
'want dog NEGATIVESMILE sobad HASHTAG URL ENLARGEDDWORD',negative
'woke call hahaha NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'deserv alcohol right now NEGATIVESMILE',negative
'seem rain doesnt want go spend time son NEGATIVESMILE',negative
'third pa trilog becom unwieldi perhap divid two novel give complet NEGATIVESMILE',negative
'sorri spam sale piec today NEGATIVESMILE like peopl might understand need sold help make new better stuff DOTS',negative
'aw man drank much last night NEGATIVESMILE',negative
'wth wrong data NEGATIVESMILE',negative
'com back NEGATIVESMILE POSITIVESMILE uRL',negative
'2 days phone NEGATIVESMILE',negative
'pretti tiffani imnida NEGATIVESMILE xeolovestephi orz',negative
'rowan pope evil man cant believ olivia will pull trigga NEGATIVESMILE scandal HASHTAG',negative
'that much yho snapstori 300 second long NEGATIVESMILE',negative
'throat infect NEGATIVESMILE NEGATIVESMILE darren morningsatanc ENLARGED_NEGATIVESMILE',negative
'bu fuck reynold broke hes sell stuff NEGATIVESMILE DOTS URL',negative
'can never get mor suppli drop NEGATIVESMILE',negative
'pleas beliv NEGATIVESMILE',negative
'ticket (still price) will one ticket like last year serious NEGATIVESMILE booth ticket talaga',negative
'hi ho hi ho work go DOTS NEGATIVESMILE save leav keywest HASHTAG en febrero DOTS',negative
'total broken NEGATIVESMILE',negative
'nightmar NEGATIVESMILE',negative
'im itch go get donut go shop aunt didnt invit like usual NEGATIVESMILE',negative
'everyth favourit celeb alway time cant go annoy NEGATIVESMILE',negative
'gotta go now everyon get day thanksgiv NEGATIVESMILE good later POSITIVESMILE',negative
'ok im sorri ah plantain NEGATIVESMILE that burnt plantain ENLARGEDDWORD ENLARGEDDWORD',negative
'oh well get wifi ill doubt NEGATIVESMILE hate',negative
'go long ass day work 5 POSITIVESMILE 0 NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'roll deep NEGATIVESMILE',negative
'one involv beef anymor NEGATIVESMILE',negative
'thank good friend (kahit hindi tayo friends) yung totoo NEGATIVESMILE',negative
'dy hair purpl whatev stupid reason gone brown hate NEGATIVESMILE',negative
'yee NEGATIVESMILE URL',negative
'get readi sho ly attend funer young man still life cruel god bless shaun wo hington NEGATIVESMILE',negative
'need sta take care natur hair NEGATIVESMILE',negative
'ugh know million ilovejalenmcmillan HASHTAG fan that wont even notic NEGATIVESMILE',negative
'hate thse fell NEGATIVESMILE NEGATIVESMILE selos_ako_dun_ah HASHTAG',negative
'make even disappoint NEGATIVESMILE',negative
'high fever NEGATIVESMILE',negative
'almost get hit car funni DOTS NEGATIVESMILE',negative
'shit NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'ive just finish zelda link world NEGATIVESMILE now URL',negative
'hiccup pleas stop NEGATIVESMILE ENLARGEDDWORD',negative
'aali kana daw ng adnu NEGATIVESMILE — um dont know yet URL',negative
'soo god sudden fall NEGATIVESMILE ENLARGEDDWORD',negative
'just want toffe nut sticki cinnamon bun NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'dude hey im jetlag moodi NEGATIVESMILE NEGATIVESMILE ENLARGEDDWORD',negative
'feel sick NEGATIVESMILE',negative
'one favourit hijab go walki disappear life NEGATIVESMILE priceofthegypsylife HASHTAG',negative
'just type 4 page essay realli want go back asleep cant NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'fuck nightmar NEGATIVESMILE',negative
'omg websit work NEGATIVESMILE NEGATIVESMILE NEGATIVESMILE NEGATIVESMILE NEGATIVESMILE NEGATIVESMILE just want tv god sake ENLARGEDDWORD',negative
'take turn pee side check cash store NEGATIVESMILE',negative
'sel tl NEGATIVESMILE',negative
'hand full NEGATIVESMILE laitan na NEGATIVESMILE that burnt plaintain',negative
'care dont care NEGATIVESMILE',negative
'NEGATIVESMILE POSITIVESMILE — feel broken ENLARGED_POSITIVESMILE',negative
'im stress debit card wont arriv fanclub merch sold NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'next door tree surgeon cut multipl tree garden DOTS noisi DOTS go away im tri work NEGATIVESMILE ENLARGEDDWORD',negative
'awwn babi NEGATIVESMILE hian abeg sta wit love lovey oo _ yes love',negative
'fuck found anoth one wall NEGATIVESMILE',negative
'leav bike central station weekend NEGATIVESMILE dont get stolen honey ill back soon URL',negative
'want go robmag tom friend NEGATIVESMILE never ako nakipag bond friendss NEGATIVESMILE ENLARGED_NEGATIVESMILE ENLARGEDDWORD ENLARGEDDWORD',negative
'realli feel inspir creativ juic arent come NEGATIVESMILE ENLARGED_NEGATIVESMILE',negative
'home alon sigh NEGATIVESMILE — feel bore',negative
'even pove y think twice offer fruit journalist talk URL NEGATIVESMILE',negative
'basic hate school DOTS NEGATIVESMILE URL ENLARGED_NEGATIVESMILE',negative
'black friday broke internet NEGATIVESMILE',negative
'lost iphon button NEGATIVESMILE',negative
'forgot id NEGATIVESMILE',negative
'day work lot imodium stray far smallest room great NEGATIVESMILE ENLARGEDDWORD',negative
