Tweet,Sentiment
"@schemingstars I didn't get yours :(","negative"
"@jenn4ks shit man :((( youre gunna be missed","negative"
"And then I nearly had an accident on the south circular. Not got my confidence back yet :(","negative"
"So sad :( - Parks and Recreation: Final Season Premiere and Finale Dates Revealed - IGN http://t.co/1TMDVXQUbU","negative"
"I need.. not because the cage so ugly :(","negative"
"@crockettonair I just noticed your name changed & doesn't have philly in it anymore. . . Does that mean what I think it means?!? :(","negative"
"Unruly feelings. :(","negative"
"@SierraDallas I love you much :(","negative"
"@styleskordei lmao been there :(","negative"
"@Jiaen_owl sorry, can't join u all coz I'm not in Malaysia :(  Enjoy yourself at the class trip alright! 👌😄","negative"
"@ImpassionateK I wanted to buy the DVDs but the music isn't the same and the music made Nana. :(","negative"
"@camerondallas cam why won't you follow me :(","negative"
"@msallaustralian i wish i didnt have to be gone :-(","negative"
"@baky182 Terrible.  Sipping hot tea with honey.You?Dolore : (","negative"
"@KitCatPattiwak but I was gonna download something :(","negative"
"@KylieKeeley7 I see how it is :(","negative"
"@zouis89 i'm sorry but for now i won't give it to anyone :( i can tell you if maybe i change my mind","negative"
"@LovelyDeexo @danielwrichter @TheNameIsIsh @elevenpastone no EPO was only nominate once :(","negative"
"Watchin the Soul Train awards. I missed it when black twitter watched it :(","negative"
"When you get super sad because you realize how alone you really are :((((","negative"
"@lazygirl89 yup :( though I have to say (and this goes for everyone who isn't american) it's easy to preach about educating oneself about","negative"
"watching he tfios :(","negative"
"@ASOS_HeretoHelp hi - wondered how to get a copy of asos magazine? site says u only send to girls but id rly love a copy of taylor issue :(","negative"
"@historicjacob @o2louist I'M IGNORED BY BROOKS :(","negative"
":( Well, no #SleepyHollow for me. Digital breakup in the hotel's cable feed is so bad, like they're way aggressively bleeping it.","negative"
"@steIedappIe yeah :( :( but they were just overseas so probably better they stick around Korea","negative"
"@dysphoriasab surelyyyyyyyyy there'll be nz :(:(:(:(:(:(:(","negative"
"@grandpiyo we need to drag you over here sometime !!!! I miss you and now ur even farther away :(","negative"
"@Thundahbeard sorry :-( I think it usually tries to make the transaction a few times. Which tier are you?","negative"
"Stop retweeting gay porn :(","negative"
"Sick as a lion..a vicious lion..I hate being sick! :(","negative"
"@gamergirl240 :( , it's almost a year ago but i still miss her everyday..","negative"
"I hate making my bed because it's so big :(","negative"
