Tweet,Sentiment
Atleast I'm happy with my fangirl life. :),positive
Adaaaa rasaaaa ^^Friday Happy :D thx god :),positive
FREE Today :) http://t.co/ZBQtNSVHSo,positive
Home :),positive
And i've got all that i need right here in the passenger seat :).,positive
good evening :),positive
I can't wait for new music soon @justinbieber :) #MTVStars Justin Bieber,positive
Goodnight :) talk to you all when I'm in Bali,positive
Get in touch for #Bootcamp in #Southend :-) http://t.co/PM9lgqrMBB,positive
So I'll be happy :D http://t.co/xsxgJr30gF,positive
Good Evening :),positive
Me and my sister :-) http://t.co/RoC3sMvKa7,positive
Hi.. :D,positive
Hit Like if you love this scene :) http://t.co/knZ5sxmjZf,positive
Congrats @Dan_Medinaaa :),positive
Nice little Xmas pressie order made at @ohh_deer :-) Too much tempting stuff on display! http://t.co/tWV6ZIE2ds,positive
Never been so excited about a sim card before Thank you !! :D @danisnotonfire @AmazingPhil #DANANDPHILSIM http://t.co/yHINyOlXRy,positive
Carnt wait for tonight going to twist and going see @MrkieronR so excited :),positive
Goodevening. At SMT :),positive
For the man in your life :)#gifts #fragrance #menhttp://t.co/A2xTC0OZ6C http://t.co/qUKdx6ZdRP,positive
First ones arrived :) http://t.co/rJ3a5H9zXW,positive
and it was a PERFECT description :),positive
haha dont mention it :) why u dont fancy it ? — I just don't like it hahah http://t.co/W0Zs938xSu,positive
There's too many good players :D #TeamOfTheYear,positive
I'm glad you came back into my life once again :),positive
Hi there :),positive
Happy Lancers Day! Tweet me here @OliverLancePHIL. :),positive
good evening ! :),positive
New #idea! Look at this :) http://t.co/OYd1nVnU4v,positive
Goood Morning Everyons :),positive
My princess navya @saumya_Seth so beautiful :) http://t.co/QCWsnRZM0v,positive
Thank you for the RT @peadon92 :),positive
Hi Everyone! I'll be using this page more often from now on so please tell a friend about this page so that I can share with you all :),positive
Happy birthday ate! :) @jelsconcepcion,positive
Heeeeeeeeeeeeeeey! :D,positive
Woohoo  1000 followers in two weeks! Thanks guys :),positive
ok im home alone selfie time :D ;D,positive
Goodevening :),positive
lazy day :) chilling at my grandparents' :),positive
Smile :) http://t.co/lIOgALURk5,positive
Goodluck Maria Sherapova :),positive
Good evening :),positive
My dream makes a trip around the world :),positive
Whatever you said. I'll stay :),positive
Beauty catches the Attention but Character catches the Heart :),positive
My sweetheart : ) http://t.co/6Y9hHhEA0J,positive
Le'go travel. :) http://t.co/G9oQmrJRih,positive
thanks yah :),positive
Got it! Finally! :D http://t.co/EpPE3wwwu6,positive
Goodnight :),positive
First meetup is next weekend! This has come around so fast :),positive
happy birthday to me :),positive
New life... :) http://t.co/5Lx12pC3zT,positive
Got some WWE tickets this morning :),positive
People from home. :) @ Bank Street Social http://t.co/9KUyZG3tYg,positive
So many things to look forward to. <3,positive
"I love them, thank u mum !! <3 http://t.co/rMQEeRYhnT",positive
LOVING HIPPOS <3,positive
Be happy baby♥,positive
listening to @respektor ....love her <3,positive
♥ this look! http://t.co/M6TmSHqJTr,positive
later ♥,positive
i love my classmates!<3,positive
This is my WORLD !! <3 http://t.co/D1WteSPUSy,positive
I like this seeing you all the time @ItRBeingNadine it brings so much colour and love to my life :) ♥,positive
I like this kinda stuff <3 http://t.co/zWKA1XQSzE,positive
<33<3 FINALLY!! 105-92!!!!! Can't believe we actually won!! <3,positive
♥ this look! http://t.co/QQtrY6A5uz,positive
Food trip ATM ♡♥,positive
Goodeveniing <3,positive
Give Love On Christmas <3,positive
♥ this look! http://t.co/xLWzK9RuYz,positive
this is ♥ http://t.co/gZFoyY3AY3,positive
I really really ♥ u @BraceArquiza05,positive
You rock my world <3,positive
"BOYS I LOVE YOU ♥ Are amazing and mean everything to me really love you PLEASE follow me please I beg @Real_Liam_Payne ☀🙏🙏🙏🙏✖7,796",positive
Supportive cousins are the best! <3,positive
"♥ When you laugh, you receive luck. @skehehdanfdldi",positive
Omg I was laughing for 10-15 mins about what pat did to you @GamingWithJen that's why I love you both <3 @PopularMMOS http://t.co/envWEr0Kf2,positive
I Love Blue Hair ♥,positive
to love and be loved <3,positive
"Wow, that #ERROR special stage was amazing! :3 ♥ #VIXX",positive
It's my birthday it's my birthday I will spend my parent's money haha <3 *____* $___$,positive
I have visited 22 countries in the world <3 need more #travel #travelstoke http://t.co/aM3aFF04vv,positive
finally discovered the band Royal Blood. <3 #royalblood,positive
ILOVE MY ONE BOY IN MY LIFE <3,positive
dinner <3 Thanks for the continuous blessing and guidance,positive
My life's treasures <3 http://t.co/kWUNbbnl2b,positive
In love with the Starship trainees <3 http://t.co/jz27MFKjK3,positive
I want Pizza ♥,positive
♡ good morning ♥,positive
I'm telling the world about how _blankedly blank makes me #Happy for #SantasWishList http://t.co/sG68ejFJZm,positive
"being in a surprisingly wonderful mood today, enjoying #gdjb right now, ate tasty pizza a hour ago and passed the exam in the morning #happy",positive
they are one of the many people who gave me strength <3 thank you and #happy #thanksgivings… http://t.co/7sj8S9fzI2,positive
I'm so #happy!!! http://t.co/EahN5Wzzxd,positive
Package arrived #happy http://t.co/cjj4OabyCb,positive
"The best feeling of happiness is when you're happy , because you've made somebody else happy #happy weekend guys",positive
Smile is walys best way to make your self #happy http://t.co/D4GzcCTUk5,positive
Happy thanksgiving #happy #thanksgiving #thanks #thx #festival #day #giving #givethanks #grateful… http://t.co/yjBUD0PCXN,positive
Happy Friday 💞 #friday #happy #mummy #chanel #chanellover #chanladdict #jerushaaddict #klintonstyle #justahawaiis... http://t.co/Fdv7gN6SIg,positive
Thank you @PRINTMEIT for another beautifully executed order #happy,positive
Yeah! Booked a ticket to see #HelloGoodbye @Hamps_Theatre in February! #happy,positive
♥ #Happy #Friday everyone  ♥  Thank you #everyone for #following and #Retweeting and #favorites! ♥ http://t.co/7zExIjfS4O,positive
Some of the most beautiful scarves and a lovely clutch bag. Just arrive from @AllegraLondon #love #ff #happy http://t.co/mt3yPH80mo,positive
Let's try one more Good Day!#love #peace #happy #true 😎😍☀🌵🍂🍃 http://t.co/8A2ncdpqdK,positive
My life is now complete #sophiawebster #samplesale #love #shoes #happy #birthday http://t.co/uFLusJFnqo,positive
Because I'm Happy! 14 Ways to be happier. via @time http://t.co/rRT0GLzmCz #bwn #happy #inspiration #success #motivation,positive
"Yay! We just reach 100 followers!  Thanks to everyone, we are so #happy! #Travel #Love #Plantbased",positive
Say #Merry #Christmas to someone special with a HUG BOX😃 http://t.co/ryxKbRNsau  #Personalised #Gift #Hug #happy UK http://t.co/p7frnSezjP,positive
Best Thnaksgiving ever!#Happy ThanksGiving! W.myLove! <3 TE AMO! http://t.co/TPIhoHaXNK,positive
My mum is the best first black Friday purchase a coat #Happy,positive
Two wonderful people just told me the most fantastic news! #happy #perfect (you know who you are!!),positive
Ready to move into my new 3 bedroom apartment. Can't wait :),positive
Subscribe to CoolGamerGirl Escapades on Youtube. :) Have a great weekend everyone.,positive
Before and after shots of my week's work.  2 lovely bedrooms for 2 lovely children :). — feeling proud,positive
Good nigh and have a nice dream ndut :),positive
Fantastic way to end the week :)) students staying back on a Friday to improve their handwriting :)) #inspired @swallow_cc,positive
Ohhh please! :)))))))))),positive
#rcl1milliongiveaway Hi Rachel :) Congratulations on 1million subscribers! Please read my entry below. http://t.co/9lFakAmFIl,positive
"Thank You :) ""@Ceejah031: Round of applause. RT""@CeenayShange: Part Of Me Can't Believe That I'm Actually Done With High School!""""",positive
Got the new Pokemon!!!!! :D http://t.co/9tE1ZkodqX,positive
Goooooll :))) http://t.co/4zD97xUeeG,positive
Birthday shoutout to my twin @nddotkim. Happy birthday dear twin! Wishing you a good year ahead :),positive
#rcl1milliongiveaway Hi Rachel :) Congratulations on 1million subscribers! Please read my entry below. http://t.co/Vcsjdqk6KU,positive
"hi,please call me back :) :3",positive
Maliyah is so pretty :) @TheSims http://t.co/hkbwoEcncB,positive
:  @DavidVerheyden3 @QueenWillRock @DrBrianMay @OfficialRMT  @OIQFC @MercuryForever1 Good evening Queen beauties! :) http://t.co/BMPzDQmwK1,positive
Black Friday :) shopping was great loves,positive
wish I could start off every day with a long hike :) http://t.co/JopVLCbsvF,positive
Done at 2pm. Cant wait to hangout with Korbyn <3 He's such a good boy :),positive
sleep beauty :),positive
Good night :),positive
Everything OK :),positive
#WhoAreYou @FifthHarmony i love this song girls! Simply perfect  :),positive
Staying down Aunt Bev and Uncle Colin house. Looking forward 2 it. Going  2 spend time with them and my 2 cousins lol. :),positive
Birthday Activities last year :) http://t.co/b5ZO5Oiind http://t.co/ax2sZmDqIv,positive
YAY!!! sniffy's been found...don't ask...just be pleased :),positive
