@relation 'data'

@attribute Sentiment {positive,negative}
@attribute SentimentText string

@data
positive,' Demi lovato is comming to london so is miley YAY! you lot will see me there trustttt mee still want to know what time itunes gig starts'
negative,' dentist later, I hoping it my teeth plates and nothing as NASTY as last time...'
positive,' designing away for #f3s - homepage, match stats, league tables, private games and more - previews coming soon (:'
negative,' did God give up on us?!'
negative,' did I miss the hov track. smh I see mad twits about the hov shit.'
negative,' did you guys hear about the airplane crash? Scary.'
negative,' Didn bring connector for camera on trip...saving new photos will have to wait another week...'
negative,' Didnt calld Dad'
negative,' Didn do so well on the job today. Made $78. But I learned some valuable skills at the field manager meeting today!'
negative,' didn get an award but i did get recognized by all the seniors. They said that they are going to watch the plays because of me'
negative,' didn get my halo-halo but instead have an udon soup to go.'
negative,' didn get to meet bachmann, but her young texan intern filled my quest for crazy...'
negative,' didnt sticth today cos was reading on wattpad LOL'
negative,' did have proper food from morning on...  Liquid diet... Citrus in breakfast &amp; apple shake in lunch... missing home food'
negative,' i just want my compositions back. i was going to work on a waltz/lullaby. stupid gremlins.'
negative,' I just woke up but I wanna go back to sleep, someone keep me up lol.'
negative,' I keep getting errors on iPhone and it saves okay online but I see nothing'
negative,' I know I know'
negative,' i know it coulde been a lot worse. But a broken ankle is still enough to worry me.'
negative,' I like the emo boy in hollyoaks /sad'
negative,' I look like a freakshow!! The beautician waxed my eyebrows into oblivion!!'
negative,' i look so beautiful today lol(in my dreams) and yet there is nobody around who wants to do anything'
negative,' i lost my 021 charger last night'
negative,' i lost my book while i was sleeping. who does that?!'
negative,' I lost two kids at Youth Group tonight. No joke.'
positive,' I love Dirk and his 44 points from tonight. Now if he could only realize he was meant to be with me..'
negative,' I love him, and now, wee not even friends&lt;'
positive,' i love my friends. And cant wait for church tomorrow!!!!!! Im up. Up. Up. Right now. This happens frequently.'
positive,' i love my momma &lt;3'
positive,' i LOVE shortsTack! (Especially Shaun!!hehe) But(bradie &amp;andy r gorgeous too!!!'
positive,' I love talking to you. Even if its simple words.'
positive,' I love the download fest.'
positive,'- I love you, what do you say? '
positive,' i loved the new calf'
negative,' I make nonsense jokes that make pain to others....'
negative,' i may have diabites i cant spell it but yeah , fuck !! ttoally scared now , my body if fucked , soo fuckign annoying !!'
negative,' I may not get to keep my engagement ring.. may have to switch it... not fair, bc I want THAT ring.. oh well. ily Sparkle Puff.'
negative,' i miss bby V....want to see her NOW!'
negative,' I miss Direct TV...I could be watching the Cake Boss now or already watched it...'
negative,' i miss guild wars... i still haven touched the most recent one. it just sitting on my desk. skylar alanine will get some action soon'
positive,' I miss kelli. But I glad she having fun  fun saturday night  goodnight. I miss jeffy.'
negative,' i miss my boys....'
negative,' I miss my brycey alreadt... oside bound.'
negative,' I miss my cell phone'
negative,' I miss my friends'
negative,' i miss my leddy boo...'
negative,' i miss the days when i was the starfish to his sponge'
negative,' I miss us! Miss the old times with the guyz'
negative,' I miss you.Where are you? D:'
negative,' I need a hug'
negative,' I need a money'
negative,' I need a new Ipod!! This freaking thing won Sync anymore!!! Anywho......Hoping the Magics make a run for the W!!!'
negative,' I NEED A PHONE....MISSIN DA CRACKBERRY RITE NOW, SOMEBODY HELP ME PLEASE!!'
