ItemID,Sentiment,SentimentSource,SentimentText
1670,positive,Sentiment140, Demi lovato is comming to london so is miley YAY! you lot will see me there trustttt mee still want to know what time itunes gig starts
1671,negative,Sentiment140," dentist later, I hoping it my teeth plates and nothing as NASTY as last time..."
1672,positive,Sentiment140," designing away for #f3s - homepage, match stats, league tables, private games and more - previews coming soon (:"
1673,negative,Sentiment140, did God give up on us?!
1674,negative,Sentiment140, did I miss the hov track. smh I see mad twits about the hov shit.
1675,negative,Sentiment140, did you guys hear about the airplane crash? Scary.
1676,negative,Sentiment140, Didn bring connector for camera on trip...saving new photos will have to wait another week...
1677,negative,Sentiment140, Didnt calld Dad
1678,negative,Sentiment140, Didn do so well on the job today. Made $78. But I learned some valuable skills at the field manager meeting today!
1679,negative,Sentiment140, didn get an award but i did get recognized by all the seniors. They said that they are going to watch the plays because of me
1680,negative,Sentiment140, didn get my halo-halo but instead have an udon soup to go.
1681,negative,Sentiment140," didn get to meet bachmann, but her young texan intern filled my quest for crazy..."
1682,negative,Sentiment140, didnt sticth today cos was reading on wattpad LOL
1683,negative,Sentiment140, did have proper food from morning on...  Liquid diet... Citrus in breakfast &amp; apple shake in lunch... missing home food
1684,negative,Sentiment140, i just want my compositions back. i was going to work on a waltz/lullaby. stupid gremlins.
1685,negative,Sentiment140," I just woke up but I wanna go back to sleep, someone keep me up lol."
1686,negative,Sentiment140, I keep getting errors on iPhone and it saves okay online but I see nothing
1687,negative,Sentiment140, I know I know
1688,negative,Sentiment140, i know it coulde been a lot worse. But a broken ankle is still enough to worry me.
1689,negative,Sentiment140, I like the emo boy in hollyoaks /sad
1690,negative,Sentiment140, I look like a freakshow!! The beautician waxed my eyebrows into oblivion!!
1691,negative,Sentiment140, i look so beautiful today lol(in my dreams) and yet there is nobody around who wants to do anything
1692,negative,Sentiment140, i lost my 021 charger last night
1693,negative,Sentiment140, i lost my book while i was sleeping. who does that?!
1694,negative,Sentiment140, I lost two kids at Youth Group tonight. No joke.
1695,positive,Sentiment140, I love Dirk and his 44 points from tonight. Now if he could only realize he was meant to be with me..
1696,negative,Sentiment140," I love him, and now, wee not even friends&lt;\3"
1697,positive,Sentiment140, i love my friends. And cant wait for church tomorrow!!!!!! Im up. Up. Up. Right now. This happens frequently.
1698,positive,Sentiment140, i love my momma &lt;3
1699,positive,Sentiment140, i LOVE shortsTack! (Especially Shaun!!hehe) But(bradie &amp;andy r gorgeous too!!!
1700,positive,Sentiment140, I love talking to you. Even if its simple words.
1701,positive,Sentiment140, I love the download fest.
1702,positive,Sentiment140,"- I love you, what do you say? "
1703,positive,Sentiment140, i loved the new calf
1704,negative,Sentiment140, I make nonsense jokes that make pain to others....
1705,negative,Sentiment140," i may have diabites i cant spell it but yeah , fuck !! ttoally scared now , my body if fucked , soo fuckign annoying !!"
1706,negative,Sentiment140," I may not get to keep my engagement ring.. may have to switch it... not fair, bc I want THAT ring.. oh well. ily Sparkle Puff."
1707,negative,Sentiment140, i miss bby V....want to see her NOW!
1708,negative,Sentiment140, I miss Direct TV...I could be watching the Cake Boss now or already watched it...
1709,negative,Sentiment140, i miss guild wars... i still haven touched the most recent one. it just sitting on my desk. skylar alanine will get some action soon
1710,positive,Sentiment140, I miss kelli. But I glad she having fun  fun saturday night  goodnight. I miss jeffy.
1711,negative,Sentiment140, i miss my boys....
1712,negative,Sentiment140, I miss my brycey alreadt... oside bound.
1713,negative,Sentiment140, I miss my cell phone
1714,negative,Sentiment140, I miss my friends
1715,negative,Sentiment140, i miss my leddy boo...
1716,negative,Sentiment140, i miss the days when i was the starfish to his sponge
1717,negative,Sentiment140, I miss us! Miss the old times with the guyz
1718,negative,Sentiment140, I miss you.Where are you? D:
1719,negative,Sentiment140, I need a hug
1720,negative,Sentiment140, I need a money
1721,negative,Sentiment140, I need a new Ipod!! This freaking thing won Sync anymore!!! Anywho......Hoping the Magics make a run for the W!!!
1722,negative,Sentiment140," I NEED A PHONE....MISSIN DA CRACKBERRY RITE NOW, SOMEBODY HELP ME PLEASE!!"
1723,negative,Sentiment140," i need followers-If you want Satellite TV on your pc, check this site  See http://bit.ly/SuSvGu"
1724,negative,Sentiment140, I need ktv!
1725,negative,Sentiment140, I need my car fixed
1726,negative,Sentiment140, I need someone to comfort me
1727,negative,Sentiment140," I need study a lot, tommorow 2 tests: in music and physics, oh, and also art homework! Hmm... I think, that I will make optical illusion!"
1728,negative,Sentiment140, I need you more than you need me...and this hurts Paige.
1729,negative,Sentiment140, i neva knew gettin an internship was this unpredictable
1730,negative,Sentiment140, did have proper food from morning on... Liquid diet... Citrus in breakfast &amp; apple shake in lunch...
1731,negative,Sentiment140, Diego makes Tori sad that she FAILS ! Anti-depressant pills ftw. NOT!
1732,positive,Sentiment140, Disneyland was great! ... Got to go and pick up the kitties in a minute ... ?
1733,positive,Sentiment140, Dodgers are doing good today. ^3  6-0 Dodgers 2 outs
1734,negative,Sentiment140,- doesn`t have a phone.
1735,negative,Sentiment140, Doing my Chem 16 Pre-lab. (
1736,positive,Sentiment140," done with benjamin button, what a beautiful movie. Sleeping, dreaming of my wife. Hopefully go over her house early tomorrow&lt;3"
1737,negative,Sentiment140, don feel like cooking...
1738,negative,Sentiment140, dont get to see my boys tomorroww.im sad
1739,negative,Sentiment140," dont let me down, mighty tkt booking portal..."
1740,negative,Sentiment140,"- don you hate it when you iPhone battery dies on you, and the nearest charge is 15 miles away "
1741,negative,Sentiment140, DOU GUYZ EVEN C ME HERE!?!?!?!?
1742,negative,Sentiment140," down, nite."
1743,positive,Sentiment140, dreams do come true.
1744,negative,Sentiment140, driving to school without justin texting me.. What a lonely morning
1745,negative,Sentiment140, dumb kyle i @him but doesnt have me on his updates
1746,positive,Sentiment140, eatin cereal
1747,positive,Sentiment140, eating food! hahaha
1748,positive,Sentiment140, eeep i love her. so glad she around.... hannahh! you said you text you never didd!
1749,negative,Sentiment140, ehhh startin to think this is not for me
1750,negative,Sentiment140, Either my Video Card died or my DVI cord went down the drain...
1751,negative,Sentiment140, English tomorrow. *breaks down*
1752,negative,Sentiment140," english, bummer..."
1753,positive,Sentiment140, enjoying my last days of summer &gt;sigh&lt;
1754,negative,Sentiment140, equals sad. In case you were wondering.
1755,positive,Sentiment140,"-- err y am i still awake ? my birthday is june 24th woo hoo  , than BET awards june 28, than vegas july 2-5!"
1756,negative,Sentiment140, eurgh  silly sick. silly cold. silly tired. needs her stuff back!
1757,negative,Sentiment140, even the hoff can bandaid the scar left by diversity winning and not the father son dancey team.
1758,negative,Sentiment140, Every boy...Ive never met anyone as cold as them  Well some boys
1759,negative,Sentiment140," every number, bbm pin, and text message is gone from my phone...its empty. I about to cry...smh http://myloc.me/5dMB"
1760,negative,Sentiment140, Everybody Hates Vinde.
1761,negative,Sentiment140, everyone from home is going to the beach today &amp; I stuck in philly
1762,negative,Sentiment140, everyone hates canada! No @Mileycyrus and no @mitchelmusso who wants to road trip to fargo to see @mitchelmusso cause i sure am!
1763,negative,Sentiment140, everyones going on holiday and im left on my loansome for like the 5 year in a row :( tis crap to be soo skint stuck in shitty scotland
1764,negative,Sentiment140, exams how i hate exams in the summer ! its not fun not at all !! BEACH i miss you !&lt;3
1765,positive,Sentiment140,- excited for toms shopping !
1766,positive,Sentiment140, faster faster show on 16th in Brunswick
1767,negative,Sentiment140, fed up and upset. i need some good nosh down me and a cuddle from a lovely boy with messy hair please. i need a night out too..
1768,positive,Sentiment140, Feddy won! Woop woop! Must compose myself now in preparation pour le finale dpprentice later. WAY too much excitement for one day!
1769,negative,Sentiment140, feeling a little under the weather today.
1770,positive,Sentiment140, Feels like a giggly school girl!
1771,negative,Sentiment140, Fifa ticketing just times out. Seems like my 2010 ticket chances are getting less and less...
1772,negative,Sentiment140," film not on till 7:45, will have to hold out for 2 hours, il fix some tea and then go to pops for an hour"
1773,negative,Sentiment140, damn it.
1774,negative,Sentiment140,- damn watchin Spidey Man 3  ::tears:: it touched my soul lol
1775,negative,Sentiment140, damn wendy commerical got that damn song in my head.
1776,positive,Sentiment140, damn you mobbing deep
1777,negative,Sentiment140," Damn, I missed Kindergarden Cop on showtime, Il have to catch the replay later. &lt;3 that movie"
1778,negative,Sentiment140," damn, Kayley doesn get to meet Robin."
1779,negative,Sentiment140, Damn. This kinda sucks more than i thought it would. Probably not gonna sleep.
1780,negative,Sentiment140, damn...I miss you...
1781,positive,Sentiment140, dance flick was hilariouss!!!
1782,negative,Sentiment140," dancin todayyy , dont wanna , and its lush weather in flippin wales, and im spending it inside :("
