@relation 'data'

@attribute Sentiment {negative,positive}
@attribute SentimentText string

@data
negative,'                     is so sad for my APL friend.............'
negative,'                   I missed the New Moon trailer...'
positive,'              omg its already 7:30 :O'
negative,'         i think mi bf is cheating on me!!!       T_T'
negative,'         or i just worry too much?'
positive,'       Juuuuuuuuuuuuuuuuussssst Chillin!!'
negative,'       Sunny Again        Work Tomorrow  :-|       TV Tonight'
positive,'      handed in my uniform today . i miss you already'
positive,'      hmmmm.... i wonder how she my number @-)'
negative,'      I must think about positive..'
positive,'      thanks to all the haters up in my face all day! 112-102'
negative,'      this weekend has sucked so far'
negative,'     jb isnt showing in australia any more!'
negative,'     ok thats it you win.'
negative,'    &lt;-------- This is the way i feel right now...'
negative,'    awhhe man.... I completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX'
positive,'    Feeling strangely fine. Now I gonna go listen to some Semisonic to celebrate'
negative,'    HUGE roll of thunder just now...SO scary!!!!'
negative,'    I just cut my beard off. It only been growing for well over a year. I gonna start it over. @shaunamanu is happy in the meantime.'
negative,'    Very sad about Iran.'
negative,'    wompppp wompp'
positive,'    Youe the only one who can see this cause no one else is following me this is for you because youe pretty awesome'
negative,'   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it all lost *lays in fetal position*'
negative,'   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!'
negative,'   BoRinG   ): whats wrong with him??     Please tell me........   :-/'
negative,'   can be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.'
negative,'   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. '
positive,'   goodbye exams, HELLO ALCOHOL TONIGHT '
negative,'   I didn realize it was THAT deep. Geez give a girl a warning atleast!'
negative,'   I hate it when any athlete appears to tear an ACL on live television.'
negative,'   i miss you guys too     i think i wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today'
negative,'  -- Meet your Meat http://bit.ly/15SSCI'
negative,'   My horsie is moving on Saturday morning.'
negative,'   No Sat off...Need to work 6 days a week'
negative,'   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay'
negative,'   SOX!     Floyd was great, but relievers need a scolding!'
negative,'   times by like a million'
positive,'   uploading pictures on friendster'
negative,'   what type of a spaz downloads a virus? my brother that who :\\ MSN is now fucked forever    :('
negative,'  &amp;&amp;Fightiin Wiit The Babes...'
positive,'  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7'
negative,'  *enough said*'
positive,'  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    '
positive,'  ... health class (what a joke!)'
positive,'  @ginaaa &lt;3 GO TO THE SHOW TONIGHT'
negative,'  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now'
negative,' - All Time Low shall be my motivation for the rest of the week.'
negative,'  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody'
negative,'  another year of Lakers .. That neither magic nor fun ...'
negative,'  baddest day eveer.'
positive,'  bathroom is clean..... now on to more enjoyable tasks......'
positive,'  boom boom pow'
negative,'  but i proud.'
negative,'  congrats to helio though'
negative,'  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert.'
negative,'  friends are leaving me ause of this stupid love  http://bit.ly/ZoxZC'
positive,'  go give ur mom a hug right now. http://bit.ly/azFwv'
positive,'  Going To See Harry Sunday Happiness'
negative,'  Hand quilting it is then...'
negative,'  hate u ...  leysh t9ar5 ... =((((((( ..'
positive,'-  I always get what I want'
positive,'  I bend backwards'
positive,'  i get off work sooooon! i miss cody booo. haven seen him in foreverr!'
positive,'  I hate allergies. Should I get my hair cut tomorrow? I taking a public poll...'
negative,' - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us'
negative,'  I miss Earl'
negative,'  I miss New Jersey'
negative,'  I missed the first hour of SYTYCD last night, and I can find it online!'
negative,'  I need a U2 fix NOW!'
negative,'  I never thought I become second choice...'
negative,'  I think I may be too friendly...lol... o well...'
negative,'  I think Manuel (my Basil plant) only has days to live'
negative,'  I wanna be at home @ church...I wonder wht they are doing?'
negative,'  i wanna make my own pizza'
negative,'  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x'
negative,'  i want a hug'
negative,'  I want Miley to tour Australia'
negative,'  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels'
negative,'  i was too slow to get $1 Up tix'
negative,'  I will send sunshine to Northern Ireland, are you going swimming today @kezbat'
negative,'  I wish I could go to T4 On The Beach :(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather'
negative,'  i would be so much happier if the walls of my bedroom were painted white,'
