Tweet,Sentiment
I'm at Walmart Supercenter (2016 Millenium Blvd, at Elm Rd, Cortland) http://4sq.com/qmTNhl,neutral
Whr my brotha at @Cerebral_Breez? I need somebody 2 piss off,neutral
@sm_jones1024 lol yeah you can say that! Can I see your face soon? I need sunshine in my life :),neutral
@zacmcgee no buy I srsly want to do my next video with you skyping in and harassing me.  You free tonight or tomorrow?,neutral
aww!!! t extraño,neutral
big ups to @AndyMineo on being the newest member is the #116 #gametime #Bol!,neutral
gametime,neutral
Bol,neutral
@KevinRothermel Stop tweeting and get back to those timesheets.  Tweets aren't billable!,neutral
@PrincessKrisss at 6 in the morning? Hahah,neutral
`everybody want moss,neutral
QUE BIEN VA A ESTAR EL HEAVENS AND HELL FEST EN NOVIEMBRE, CON MEGADETH !,neutral
Moving is just a whole lot of uncovering skeletons. #metaphor #imnotreallycreepy,neutral
metaphor,neutral
imnotreallycreepy,neutral
@kristofersavage Truth. I got Twitter when LifeWay got funny about social networks, and now I prefer it to Facebook. Faster and easier.,neutral
@TheoKeith Happy Birthday, Theo! And welcome to the best TV station in Madison! @wisctv_News3,neutral
احدث صورة لتوسعة خادم الحرمين الشريفين للحرم المكي http://t.co/iwyJgVQ  #Mecca #KingAbdullah,neutral
Mecca,neutral
KingAbdullah,neutral
@teflon_ronn  on st Patrick's day,neutral
@chefgeoffs what about Garfield Park?? Then you're in Clarendon! !!!,neutral
Mi Hermana me pregunto -Porque estas tan chistosa? ._____.,neutral
these mutherfuckers talkin crazy like they jaw broke,neutral
@DABieberGaGa follow me :) !!,neutral
Dammit! Why does @ABCFamily always try to ruin my days off. First, no more Gilmore Girls at 5pm and now none at 10am. I'm gonna watch @ESPN.,neutral
@TeSigoYaa 
@MIPARS1 
@juanpa2109 
@Chespo1 
@3vcestengane 
@xay8237 
@Ruyio 
@lore250rm 
@JoseGalicia1 
@fanspau 
@shiavila
Siguen---&gt;,neutral
@Deathxing I'm down to go :),neutral
@JillianJaniak aww she was just asking how u were the other day too!! But yes we need to get together asap! Promise I will txt u tomorrow :),neutral
#InTheSummertime #Shaggy Yeah...me pone sepsi esa cancion #Oldies #SensacionFM,neutral
InTheSummertime,neutral
Shaggy,neutral
Oldies,neutral
SensacionFM,neutral
@SidKid_XD follow me && @machoprogram we'll follow right back!!! simples :) #teamfollowback.,neutral
teamfollowback,neutral
get it back , give it back :),neutral
@wendyjillb I forgot what thats like LOL,neutral
@MissJustiBaby met a hottie your last week at tuskeegee? SMANG HIM! #fuggItItsFriday,neutral
fuggItItsFriday,neutral
@tharealpinkie @djcdubb205 @eyeconic1 #BIMCH rule #1 no girlfriends, friends of girlfriend, allowed...,neutral
BIMCH,neutral
@GaryChampagne Aww. Thanks, Gary! Did you know it is #FF? Yup! Happy #FF to you! @KGrayDonald (you, too, of course!),neutral
FF,neutral
FF,neutral
I heard this is where they arrested O.J. Interview number 2! (@ Holiday Inn) http://4sq.com/oayRr7,neutral
40 runs in 6 overs after tea? What in the name of God!,neutral
@secret_scoop Haha :),neutral
@genag515 no, fans were killing it last nite..he was 900 pounds and 8'11" tall. Crazy, crazy stuff. Lots on the braves wikipedia too.,neutral
Heading home. I am most definitely in need of my bed.. & my #mamachita,neutral
mamachita,neutral
RT @JParker57 RT @c_dubble_u @JParker57 who yall other corner cuz they talkin bout releasing Newman to get him -&gt; mike jenkins ....told u,neutral
@ReeseDaProblem shit getting ready to go back home! wyd,neutral
@su_tarea Renuncien a su trabajo  rapeandole a su jefe.,neutral
@annaccampbell is the hashtag #futureofto? I thought it was #DearRobFord #SenecaPR,neutral
futureofto,neutral
DearRobFord,neutral
SenecaPR,neutral
@LSoSolid soooooo....i don't know you.,neutral
@meaganmac then I will see you next Thursday :),neutral
#FF & #FFFFFFFFFUUUUUUUUUU :3 to @crashandconquer because I wuff her. #bros,neutral
FF,neutral
FFFFFFFFFUUUUUUUUUU,neutral
bros,neutral
@Maksim awesome. Coming up to SF today. What time works for you guys for a visit? I'm headed to @coffeeandpower in the mission 1st,neutral
ih cant trust dheyz boiz,* ,/3 #dhey play tu many games,neutral
dhey,neutral
10x10,20x20,30x30? tweet me,neutral
@x_24thMayBaby_x actually the air still have oxygen....,neutral
on top of that you u gat wtf he gat :s HOE DF YA PARENTS RAISE U i dnt even kno wtf to call you :s wid out being rude ..,neutral
@ThotFullGWC @Mr_Lister_sir I knew they wouldn't. The announcement was like how parent tells a kid that the pet died but they'll get another,neutral
@JamilaKeyani Follow me back please! :),neutral
